key,en,uz,ru
contactUs.formEmail,Your Email,Emailingiz,Ваш Email
contactUs.formSubject,Your Subject,Mavzu,Тема
contactUs.formMessage,Message,Xabar,Сообщение
contactUs.formPlaceholder,Enter here...,Shu yerga yozing...,Введите здесь...
contactUs.formSubmit,Send Message,Xabar yuborish,Отправить сообщение
aboutUs.badge,About Us,Biz haqimizda,О нас
aboutUs.title,Our Journey & Vision,Bizning yo'limiz va maqsadimiz,Наш путь и видение
aboutUs.description,"Discover who we are, what drives us, and where we're headed. We are dedicated to making a lasting impact through innovation and community.","Biz kimmiz va qayerga intilayotganimizni kashf eting.","Узнайте, кто мы и к чему мы стремимся."
aboutUs.storyLabel,Our Story,Bizning tariximiz,Наша история
aboutUs.storyTitle,Our journey highlights the strength of collaboration and determination.,"Bizning tariximiz hamkorlik va qat'iyatlilikni aks ettiradi.","Наш путь подчеркивает силу сотрудничества."
aboutUs.storyDescription,"Together, we have tackled obstacles, rejoiced in our successes, and crafted a tale of progress and achievement.","Birgalikda biz to'siqlarni yengib o'tdik va muvaffaqiyatlarimizdan quvondik.","Вместе мы преодолели препятствия."
aboutUs.storyButton,Read More,Batafsil,Подробнее
aboutUs.missionLabel,Our Mission,Vazifamiz,Наша миссия
aboutUs.missionTitle,We're all about creating awesome resources that help you succeed!,Biz sizning muvaffaqiyatingiz uchun resurslar yaratamiz!,"Мы создаем ресурсы для вашего успеха!"
aboutUs.missionDescription,"We understand the immense importance of high-quality educational materials in fostering effective learning experiences.","Sifatli ta'lim materiallarining ahamiyatini tushunamiz.","Мы понимаем важность качественных материалов."
aboutUs.missionButton,Get started,Boshlash,Начать
aboutUs.visionLabel,Our Vision,Maqsadimiz,Наше видение
aboutUs.visionTitle,Empowering a future where knowledge knows no bounds.,"Bilim chegarasiz bo'lgan kelajakni yaratamiz.","Будущее без границ для знаний."
aboutUs.visionDescription,"We envision a world where access to quality education and resources is universal.","Sifatli ta'lim hamma uchun ochiq bo'lgan dunyoni tasavvur qilamiz.","Мы видим мир с универсальным доступом к образованию."
aboutUs.visionButton,Join us,Bizga qo'shiling,Присоединиться к нам
footer.about,About,Haqida,О нас
footer.features,Features,Xususiyatlar,Возможности
footer.works,Works,Ishlar,Работы
footer.career,Career,Karyera,Карьера
footer.copyright,Made with ❤️ for better web.,Yaxshiroq veb uchun ❤️ bilan yaratilgan.,Сделано с ❤️ для лучшего веба.
languageSwitcher.label,Language,Til,Язык
